about-a-boy,1
spring-summer-fall-winter-and-spring,0.711708
my-life-as-a-zucchini,0.693849
the-city-of-lost-children,0.667477
the-goonies,0.648883
true-lies,0.578401
swing-kids,0.548605
formula-17,0.545649
scream,0.522266
brother-bear,0.517732
the-fast-and-the-furious,0.511883
poohs-heffalump-movie,0.504091
goodbye-to-language,0.502285
