her,0.999606
julie-julia,0.26833
rush,0.25948
people-like-us,0.238697
the-perfect-score,0.200787
leap-year,0.187842
captain-america-civil-war,0.144827
avengers-age-of-ultron,0.125472
captain-america-the-winter-soldier,0.105591
tron-legacy,0.0991032
don-jon,0.0991032
code-46,0.0991032
the-lazarus-effect,0.0991032
hail-caesar!,0.0991032
zero-dark-thirty,0.0991032
the-five-year-engagement,0.0991032
lost-in-translation,0.0991032
lucy,0.0991032
the-incredible-burt-wonderstone,0.0991032
the-lego-movie,0.0991032
butter,0.0991032
return-to-paradise,0.0991032
american-hustle,0.0991032
third-person,0.0991032
hitchcock,0.0991032
the-black-dahlia,0.0991032
chef,0.0991032
control,0.0991032
im-still-here,0.0991032
the-magnificent-seven,0.0991032
cowboys-aliens,0.0991032
turistas,0.0991032
aint-them-bodies-saints,0.0991032
in-america,0.0991032
walk-the-line,0.0991032
buffalo-soldiers,0.0991032
ladder-49,0.0991032
delivery-man,0.0991032
the-yards,0.0991032
the-words,0.0991032
guardians-of-the-galaxy-vol-2,0.0991032
pan,0.0991032
the-spirit,0.0991032
arrival,0.0991032
passengers-2016,0.0991032
man-of-steel,0.0991032
batman-v-superman-dawn-of-justice,0.0991032
night-at-the-museum-battle-of-the-smithsonian,0.0991032
two-lovers,0.0991032
enchanted,0.0991032
